Parameter,count,mean,std,min,25%,50%,75%,max
Age,1000.0,37.17,12.01,14.0,27.75,36.0,45.0,73.0
Gender,1000.0,1.4,0.49,1.0,1.0,1.0,2.0,2.0
Air Pollution,1000.0,3.84,2.03,1.0,2.0,3.0,6.0,8.0
Alcohol use,1000.0,4.56,2.62,1.0,2.0,5.0,7.0,8.0
Dust Allergy,1000.0,5.16,1.98,1.0,4.0,6.0,7.0,8.0
OccuPational Hazards,1000.0,4.84,2.11,1.0,3.0,5.0,7.0,8.0
Genetic Risk,1000.0,4.58,2.13,1.0,2.0,5.0,7.0,7.0
chronic Lung Disease,1000.0,4.38,1.85,1.0,3.0,4.0,6.0,7.0
Balanced Diet,1000.0,4.49,2.14,1.0,2.0,4.0,7.0,7.0
Obesity,1000.0,4.46,2.12,1.0,3.0,4.0,7.0,7.0
Smoking,1000.0,3.95,2.5,1.0,2.0,3.0,7.0,8.0
Passive Smoker,1000.0,4.2,2.31,1.0,2.0,4.0,7.0,8.0
Chest Pain,1000.0,4.44,2.28,1.0,2.0,4.0,7.0,9.0
Coughing of Blood,1000.0,4.86,2.43,1.0,3.0,4.0,7.0,9.0
Fatigue,1000.0,3.86,2.24,1.0,2.0,3.0,5.0,9.0
Wheezing,1000.0,3.78,2.04,1.0,2.0,4.0,5.0,8.0
Swallowing Difficulty,1000.0,3.75,2.27,1.0,2.0,4.0,5.0,8.0
Dry Cough,1000.0,3.85,2.04,1.0,2.0,4.0,6.0,7.0
Snoring,1000.0,2.93,1.47,1.0,2.0,3.0,4.0,7.0
Level,1000.0,2.06,0.82,1.0,1.0,2.0,3.0,3.0
